2025-01-15 23:44:21.179 [main] INFO  c.q.xiaohongshu.auth.XiaohongshuAuthApplication - Starting XiaohongshuAuthApplication using Java 17.0.8 with PID 21892 (D:\JavaCode\xiaohongshu\xiaohongshu-auth\target\classes started by 达达尼昂 in D:\JavaCode\xiaohongshu)
2025-01-15 23:44:21.181 [main] INFO  c.q.xiaohongshu.auth.XiaohongshuAuthApplication - The following 1 profile is active: "dev"
2025-01-15 23:44:22.281 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-01-15 23:44:22.291 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-01-15 23:44:22.292 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-01-15 23:44:22.383 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-15 23:44:22.384 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1162 ms
2025-01-15 23:44:22.839 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-01-15 23:44:23.101 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-01-15 23:44:23.377 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-01-15 23:44:23.384 [main] INFO  c.q.xiaohongshu.auth.XiaohongshuAuthApplication - Started XiaohongshuAuthApplication in 2.705 seconds (process running for 3.178)
2025-01-15 23:47:23.300 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2025-01-15 23:47:23.309 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
